TrendID	ProductGroupID	TrendDescription	TrendDate
1	15	Trend_1	2023-01-01 00:00:00
2	18	Trend_2	2023-01-02 00:00:00
3	10	Trend_3	2023-01-03 00:00:00
4	8	Trend_4	2023-01-04 00:00:00
5	15	Trend_5	2023-01-05 00:00:00
6	17	Trend_6	2023-01-06 00:00:00
7	17	Trend_7	2023-01-07 00:00:00
8	1	Trend_8	2023-01-08 00:00:00
9	10	Trend_9	2023-01-09 00:00:00
10	8	Trend_10	2023-01-10 00:00:00
11	5	Trend_11	2023-01-11 00:00:00
12	15	Trend_12	2023-01-12 00:00:00
13	2	Trend_13	2023-01-13 00:00:00
14	4	Trend_14	2023-01-14 00:00:00
15	3	Trend_15	2023-01-15 00:00:00
16	2	Trend_16	2023-01-16 00:00:00
17	10	Trend_17	2023-01-17 00:00:00
18	13	Trend_18	2023-01-18 00:00:00
19	19	Trend_19	2023-01-19 00:00:00
20	1	Trend_20	2023-01-20 00:00:00
21	1	Trend_21	2023-01-21 00:00:00
22	3	Trend_22	2023-01-22 00:00:00
23	18	Trend_23	2023-01-23 00:00:00
24	20	Trend_24	2023-01-24 00:00:00
25	17	Trend_25	2023-01-25 00:00:00
26	7	Trend_26	2023-01-26 00:00:00
27	16	Trend_27	2023-01-27 00:00:00
28	2	Trend_28	2023-01-28 00:00:00
29	15	Trend_29	2023-01-29 00:00:00
30	13	Trend_30	2023-01-30 00:00:00
31	19	Trend_31	2023-01-31 00:00:00
32	3	Trend_32	2023-02-01 00:00:00
33	9	Trend_33	2023-02-02 00:00:00
34	2	Trend_34	2023-02-03 00:00:00
35	6	Trend_35	2023-02-04 00:00:00
36	4	Trend_36	2023-02-05 00:00:00
37	8	Trend_37	2023-02-06 00:00:00
38	16	Trend_38	2023-02-07 00:00:00
39	10	Trend_39	2023-02-08 00:00:00
40	7	Trend_40	2023-02-09 00:00:00
41	9	Trend_41	2023-02-10 00:00:00
42	19	Trend_42	2023-02-11 00:00:00
43	2	Trend_43	2023-02-12 00:00:00
44	19	Trend_44	2023-02-13 00:00:00
45	14	Trend_45	2023-02-14 00:00:00
46	6	Trend_46	2023-02-15 00:00:00
47	3	Trend_47	2023-02-16 00:00:00
48	20	Trend_48	2023-02-17 00:00:00
49	17	Trend_49	2023-02-18 00:00:00
50	9	Trend_50	2023-02-19 00:00:00
51	14	Trend_51	2023-02-20 00:00:00
52	1	Trend_52	2023-02-21 00:00:00
53	7	Trend_53	2023-02-22 00:00:00
54	18	Trend_54	2023-02-23 00:00:00
55	20	Trend_55	2023-02-24 00:00:00
56	6	Trend_56	2023-02-25 00:00:00
57	2	Trend_57	2023-02-26 00:00:00
58	2	Trend_58	2023-02-27 00:00:00
59	8	Trend_59	2023-02-28 00:00:00
60	8	Trend_60	2023-03-01 00:00:00
61	9	Trend_61	2023-03-02 00:00:00
62	14	Trend_62	2023-03-03 00:00:00
63	18	Trend_63	2023-03-04 00:00:00
64	1	Trend_64	2023-03-05 00:00:00
65	16	Trend_65	2023-03-06 00:00:00
66	5	Trend_66	2023-03-07 00:00:00
67	20	Trend_67	2023-03-08 00:00:00
68	12	Trend_68	2023-03-09 00:00:00
69	5	Trend_69	2023-03-10 00:00:00
70	16	Trend_70	2023-03-11 00:00:00
71	15	Trend_71	2023-03-12 00:00:00
72	16	Trend_72	2023-03-13 00:00:00
73	8	Trend_73	2023-03-14 00:00:00
74	5	Trend_74	2023-03-15 00:00:00
75	20	Trend_75	2023-03-16 00:00:00
76	12	Trend_76	2023-03-17 00:00:00
77	15	Trend_77	2023-03-18 00:00:00
78	20	Trend_78	2023-03-19 00:00:00
79	10	Trend_79	2023-03-20 00:00:00
80	19	Trend_80	2023-03-21 00:00:00
81	8	Trend_81	2023-03-22 00:00:00
82	8	Trend_82	2023-03-23 00:00:00
83	8	Trend_83	2023-03-24 00:00:00
84	6	Trend_84	2023-03-25 00:00:00
85	5	Trend_85	2023-03-26 00:00:00
86	3	Trend_86	2023-03-27 00:00:00
87	15	Trend_87	2023-03-28 00:00:00
88	2	Trend_88	2023-03-29 00:00:00
89	18	Trend_89	2023-03-30 00:00:00
90	10	Trend_90	2023-03-31 00:00:00
91	7	Trend_91	2023-04-01 00:00:00
92	20	Trend_92	2023-04-02 00:00:00
93	9	Trend_93	2023-04-03 00:00:00
94	20	Trend_94	2023-04-04 00:00:00
95	8	Trend_95	2023-04-05 00:00:00
96	11	Trend_96	2023-04-06 00:00:00
97	5	Trend_97	2023-04-07 00:00:00
98	3	Trend_98	2023-04-08 00:00:00
99	20	Trend_99	2023-04-09 00:00:00
100	3	Trend_100	2023-04-10 00:00:00
101	14	Trend_101	2023-04-11 00:00:00
102	20	Trend_102	2023-04-12 00:00:00
103	16	Trend_103	2023-04-13 00:00:00
104	7	Trend_104	2023-04-14 00:00:00
105	20	Trend_105	2023-04-15 00:00:00
106	12	Trend_106	2023-04-16 00:00:00
107	16	Trend_107	2023-04-17 00:00:00
108	6	Trend_108	2023-04-18 00:00:00
109	13	Trend_109	2023-04-19 00:00:00
110	16	Trend_110	2023-04-20 00:00:00
111	10	Trend_111	2023-04-21 00:00:00
112	16	Trend_112	2023-04-22 00:00:00
113	14	Trend_113	2023-04-23 00:00:00
114	14	Trend_114	2023-04-24 00:00:00
115	10	Trend_115	2023-04-25 00:00:00
116	7	Trend_116	2023-04-26 00:00:00
117	10	Trend_117	2023-04-27 00:00:00
118	18	Trend_118	2023-04-28 00:00:00
119	7	Trend_119	2023-04-29 00:00:00
